#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
ACNH67_003550-T1     -           1888 5439                 -           1144         0 1402.9   5.5   1   4   3.9e-29   9.6e-27   91.4   0.1   107   188   463   546   453   551 0.92 ACNH67_003550
ACNH67_003550-T1     -           1888 5439                 -           1144         0 1402.9   5.5   2   4   3.7e-93   9.2e-91  303.4   0.0   194   376   620   804   611   814 0.94 ACNH67_003550
ACNH67_003550-T1     -           1888 5439                 -           1144         0 1402.9   5.5   3   4  3.8e-275  9.4e-273  906.1   1.7   365   865   824  1329   816  1363 0.92 ACNH67_003550
ACNH67_003550-T1     -           1888 5439                 -           1144         0 1402.9   5.5   4   4   9.1e-32   2.2e-29  100.1   0.0   874  1083  1437  1655  1420  1677 0.77 ACNH67_003550
ACNH67_000124-T1     -           1224 5439                 -           1144  2.4e-134  447.7   7.9   1   2       2.4   5.8e+02   -3.9   4.8    73   137   365   426   320   463 0.46 ACNH67_000124
ACNH67_000124-T1     -           1224 5439                 -           1144  2.4e-134  447.7   7.9   2   2  9.9e-137  2.4e-134  447.7   7.9   266   806   508  1044   489  1055 0.87 ACNH67_000124
ACNH67_000695-T1     -           1616 5439                 -           1144  3.7e-111  371.0  19.1   1   3       2.7   6.7e+02   -4.1   8.2   786   882   341   442   329   497 0.52 ACNH67_000695
ACNH67_000695-T1     -           1616 5439                 -           1144  3.7e-111  371.0  19.1   2   3   8.8e-72   2.2e-69  232.6   0.1   233   576   602   948   599   963 0.85 ACNH67_000695
ACNH67_000695-T1     -           1616 5439                 -           1144  3.7e-111  371.0  19.1   3   3   2.1e-46   5.1e-44  148.6   0.5   587   805  1290  1517  1285  1604 0.81 ACNH67_000695
ACNH67_004776-T1     -           1470 5439                 -           1144   5.7e-92  307.4   0.0   1   1   3.4e-94   8.4e-92  306.9   0.0   272   771    46   562    23   683 0.82 ACNH67_004776
ACNH67_002542-T1     -           2517 5439                 -           1144   3.9e-87  291.4   0.3   1   2     6e-47   1.5e-44  150.4   0.1   266   538   458   728   450   821 0.84 ACNH67_002542
ACNH67_002542-T1     -           2517 5439                 -           1144   3.9e-87  291.4   0.3   2   2   3.5e-43   8.6e-41  137.9   0.0   607   760  1201  1354  1196  1380 0.90 ACNH67_002542
ACNH67_005157-T1     -            978 5439                 -           1144   1.5e-80  269.6  22.0   1   5   2.8e-22   6.8e-20   68.7   0.0   266   361   147   242   120   247 0.92 ACNH67_005157
ACNH67_005157-T1     -            978 5439                 -           1144   1.5e-80  269.6  22.0   2   5   2.8e-19   6.9e-17   58.8   0.1   382   462   338   420   330   427 0.90 ACNH67_005157
ACNH67_005157-T1     -            978 5439                 -           1144   1.5e-80  269.6  22.0   3   5     2e-06   0.00049   16.2   0.1   492   538   491   537   477   553 0.85 ACNH67_005157
ACNH67_005157-T1     -            978 5439                 -           1144   1.5e-80  269.6  22.0   4   5      0.26        64   -0.7   0.0   559   575   581   597   562   610 0.74 ACNH67_005157
ACNH67_005157-T1     -            978 5439                 -           1144   1.5e-80  269.6  22.0   5   5   4.4e-42   1.1e-39  134.3   0.0   591   735   663   810   654   814 0.90 ACNH67_005157
ACNH67_004541-T1     -            807 5439                 -           1144   6.3e-66  221.2   0.0   1   2   7.5e-36   1.8e-33  113.7   0.0   294   582   145   428   139   438 0.80 ACNH67_004541
ACNH67_004541-T1     -            807 5439                 -           1144   6.3e-66  221.2   0.0   2   2   2.7e-33   6.5e-31  105.2   0.0   582   741   493   653   485   667 0.91 ACNH67_004541
ACNH67_001516-T1     -           1203 5439                 -           1144   1.6e-65  219.8   0.0   1   3   2.5e-09   6.2e-07   25.8   0.0   276   317   205   246   195   252 0.88 ACNH67_001516
ACNH67_001516-T1     -           1203 5439                 -           1144   1.6e-65  219.8   0.0   2   3   1.7e-15   4.3e-13   46.2   0.0   323   475   303   447   299   462 0.87 ACNH67_001516
ACNH67_001516-T1     -           1203 5439                 -           1144   1.6e-65  219.8   0.0   3   3   6.2e-45   1.5e-42  143.7   0.0   561   734   580   754   560   766 0.91 ACNH67_001516
ACNH67_000734-T1     -           1033 5439                 -           1144   4.6e-65  218.3   1.2   1   3     2e-32     5e-30  102.3   0.0   273   515   391   626   381   628 0.88 ACNH67_000734
ACNH67_000734-T1     -           1033 5439                 -           1144   4.6e-65  218.3   1.2   2   3   0.00039     0.096    8.6   0.2   513   583   668   730   665   733 0.82 ACNH67_000734
ACNH67_000734-T1     -           1033 5439                 -           1144   4.6e-65  218.3   1.2   3   3   4.7e-33   1.2e-30  104.4   0.1   579   743   786   950   780   972 0.91 ACNH67_000734
ACNH67_000948-T1     -           1402 5439                 -           1144   2.4e-45  153.0   1.8   1   3   0.00023     0.058    9.3   0.0   295   310   696   711   679   716 0.85 ACNH67_000948
ACNH67_000948-T1     -           1402 5439                 -           1144   2.4e-45  153.0   1.8   2   3   2.8e-17   6.9e-15   52.1   0.1   326   506   771   945   767   951 0.76 ACNH67_000948
ACNH67_000948-T1     -           1402 5439                 -           1144   2.4e-45  153.0   1.8   3   3   1.8e-28   4.4e-26   89.2   0.1   598   734  1221  1357  1198  1365 0.88 ACNH67_000948
ACNH67_004655-T1     -           2298 5439                 -           1144   1.2e-44  150.7   0.4   1   4       0.2        48   -0.3   0.1   271   287   327   343   323   345 0.88 ACNH67_004655
ACNH67_004655-T1     -           2298 5439                 -           1144   1.2e-44  150.7   0.4   2   4   4.2e-16     1e-13   48.3   0.2   295   576   400   692   396   700 0.69 ACNH67_004655
ACNH67_004655-T1     -           2298 5439                 -           1144   1.2e-44  150.7   0.4   3   4     2e-10   4.8e-08   29.5   0.0   589   655   863   929   857   932 0.96 ACNH67_004655
ACNH67_004655-T1     -           2298 5439                 -           1144   1.2e-44  150.7   0.4   4   4   1.6e-21   3.9e-19   66.2   0.0   660   735   984  1064   977  1069 0.86 ACNH67_004655
ACNH67_004064-T1     -           1659 5439                 -           1144   6.4e-43  145.0   0.3   1   5   2.3e-08   5.6e-06   22.6   0.0   275   312   410   448   383   452 0.88 ACNH67_004064
ACNH67_004064-T1     -           1659 5439                 -           1144   6.4e-43  145.0   0.3   2   5       0.7   1.7e+02   -2.2   0.0   324   357   496   531   491   540 0.85 ACNH67_004064
ACNH67_004064-T1     -           1659 5439                 -           1144   6.4e-43  145.0   0.3   3   5   3.3e-10     8e-08   28.7   0.0   401   466  1084  1150  1077  1158 0.90 ACNH67_004064
ACNH67_004064-T1     -           1659 5439                 -           1144   6.4e-43  145.0   0.3   4   5      0.14        34    0.2   0.1   464   536  1181  1256  1170  1297 0.66 ACNH67_004064
ACNH67_004064-T1     -           1659 5439                 -           1144   6.4e-43  145.0   0.3   5   5   1.6e-27   3.9e-25   86.1   0.0   588   738  1487  1639  1478  1647 0.88 ACNH67_004064
ACNH67_000873-T1     -            891 5439                 -           1144   1.4e-31  107.4   0.1   1   2   1.3e-21   3.1e-19   66.5   0.1   289   530   393   619   380   628 0.81 ACNH67_000873
ACNH67_000873-T1     -            891 5439                 -           1144   1.4e-31  107.4   0.1   2   2   1.4e-12   3.5e-10   36.6   0.0   606   724   688   806   678   824 0.89 ACNH67_000873
