#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
ACNH67_001427-T1     -           1251 33274                -           1015  6.5e-139  462.8  71.4   1   6   4.7e-09   8.8e-07   25.4   0.0    37    65     1    29     1    50 0.83 ACNH67_001427
ACNH67_001427-T1     -           1251 33274                -           1015  6.5e-139  462.8  71.4   2   6   1.6e-21   3.1e-19   66.6  19.0    65   303    76   314    71   336 0.83 ACNH67_001427
ACNH67_001427-T1     -           1251 33274                -           1015  6.5e-139  462.8  71.4   3   6     1e-41     2e-39  133.5  21.7   203   634   301   752   298   753 0.74 ACNH67_001427
ACNH67_001427-T1     -           1251 33274                -           1015  6.5e-139  462.8  71.4   4   6   3.2e-06   0.00061   16.0  21.8   544   799   718   979   716  1016 0.73 ACNH67_001427
ACNH67_001427-T1     -           1251 33274                -           1015  6.5e-139  462.8  71.4   5   6   2.6e-11   4.9e-09   32.8   1.4   795   879  1003  1088   991  1091 0.85 ACNH67_001427
ACNH67_001427-T1     -           1251 33274                -           1015  6.5e-139  462.8  71.4   6   6     2e-62   3.7e-60  202.1   0.0   881  1013  1113  1246  1105  1248 0.96 ACNH67_001427
ACNH67_002490-T1     -           1368 33274                -           1015   8.5e-81  270.4  86.0   1   6   6.6e-21   1.2e-18   64.6   0.0     2    65    28    97    27   114 0.88 ACNH67_002490
ACNH67_002490-T1     -           1368 33274                -           1015   8.5e-81  270.4  86.0   2   6   2.9e-08   5.4e-06   22.8   6.3    83   276   143   345   123   348 0.71 ACNH67_002490
ACNH67_002490-T1     -           1368 33274                -           1015   8.5e-81  270.4  86.0   3   6   6.2e-05     0.012   11.7  31.5   547   762   328   534   324   544 0.79 ACNH67_002490
ACNH67_002490-T1     -           1368 33274                -           1015   8.5e-81  270.4  86.0   4   6     0.023       4.4    3.2   0.0   496   538   685   729   651   738 0.81 ACNH67_002490
ACNH67_002490-T1     -           1368 33274                -           1015   8.5e-81  270.4  86.0   5   6     0.023       4.3    3.2  19.2   663   789   743   867   729   874 0.77 ACNH67_002490
ACNH67_002490-T1     -           1368 33274                -           1015   8.5e-81  270.4  86.0   6   6   1.2e-54   2.2e-52  176.3   9.2   554   997   879  1328   872  1336 0.84 ACNH67_002490
ACNH67_001620-T1     -           1449 33274                -           1015   1.7e-43  146.9  66.6   1   2   1.7e-12   3.1e-10   36.8   2.0    26   279   307   592   297   597 0.80 ACNH67_001620
ACNH67_001620-T1     -           1449 33274                -           1015   1.7e-43  146.9  66.6   2   2   3.1e-33   5.9e-31  105.4  58.5   200   989   603  1447   588  1448 0.65 ACNH67_001620
ACNH67_001094-T1     -           1242 33274                -           1015   8.9e-22   75.0  94.3   1   6   5.4e-06     0.001   15.2  12.9    89   289    21   224    10   232 0.85 ACNH67_001094
ACNH67_001094-T1     -           1242 33274                -           1015   8.9e-22   75.0  94.3   2   6   0.00055       0.1    8.6  26.5   578   765   227   415   215   444 0.69 ACNH67_001094
ACNH67_001094-T1     -           1242 33274                -           1015   8.9e-22   75.0  94.3   3   6     0.025       4.7    3.1   0.0   404   465   473   532   458   541 0.79 ACNH67_001094
ACNH67_001094-T1     -           1242 33274                -           1015   8.9e-22   75.0  94.3   4   6      0.68   1.3e+02   -1.6  16.9   610   763   647   798   633   810 0.61 ACNH67_001094
ACNH67_001094-T1     -           1242 33274                -           1015   8.9e-22   75.0  94.3   5   6   0.00016     0.031   10.3  19.0   676   878   808  1005   785  1021 0.79 ACNH67_001094
ACNH67_001094-T1     -           1242 33274                -           1015   8.9e-22   75.0  94.3   6   6   1.4e-16   2.7e-14   50.3   0.0   914   982  1109  1179  1106  1186 0.90 ACNH67_001094
ACNH67_002033-T1     -            782 33274                -           1015   6.2e-05   19.3  17.9   1   2         1     2e+02   -2.3   0.5   327   367   303   344   293   360 0.40 ACNH67_002033
ACNH67_002033-T1     -            782 33274                -           1015   6.2e-05   19.3  17.9   2   2   3.3e-07   6.2e-05   19.3  17.9   587   781   393   582   381   595 0.77 ACNH67_002033
ACNH67_002926-T1     -            895 33274                -           1015    0.0011   15.2 142.4   1   3       1.4   2.7e+02   -2.7  42.3   546   757    90   301    74   309 0.75 ACNH67_002926
ACNH67_002926-T1     -            895 33274                -           1015    0.0011   15.2 142.4   2   3   3.1e-06   0.00059   16.0  50.0   552   846   307   603   301   608 0.90 ACNH67_002926
ACNH67_002926-T1     -            895 33274                -           1015    0.0011   15.2 142.4   3   3    0.0002     0.037   10.1  35.9   547   804   622   885   610   887 0.86 ACNH67_002926
ACNH67_000036-T1     -            123 33274                -           1015    0.0018   14.4   9.0   1   1   1.1e-05    0.0021   14.2   9.0   591   700    12   119     3   123 0.70 ACNH67_000036
ACNH67_005012-T1     -           1349 33274                -           1015    0.0048   13.0   1.4   1   1   4.2e-05    0.0078   12.3   1.4   582   751   333   502   322   511 0.81 ACNH67_005012
ACNH67_003988-T1     -            781 33274                -           1015    0.0095   12.0   0.0   1   2     0.054        10    2.0   0.0   918   979   358   415   351   421 0.79 ACNH67_003988
ACNH67_003988-T1     -            781 33274                -           1015    0.0095   12.0   0.0   2   2    0.0016      0.31    7.0   0.1   919   983   672   732   667   734 0.88 ACNH67_003988
