#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
ACNH67_001313-T1     -           1378 31339                -           1133         0 1532.0   0.0   1   4  2.9e-139  3.2e-136  453.7   0.0     2   433    39   494    38   497 0.94 ACNH67_001313
ACNH67_001313-T1     -           1378 31339                -           1133         0 1532.0   0.0   2   4   1.6e-64   1.8e-61  206.2   0.0   427   621   524   719   510   733 0.95 ACNH67_001313
ACNH67_001313-T1     -           1378 31339                -           1133         0 1532.0   0.0   3   4  1.9e-157  2.2e-154  513.8   0.0   627   946   757  1097   738  1106 0.91 ACNH67_001313
ACNH67_001313-T1     -           1378 31339                -           1133         0 1532.0   0.0   4   4  1.1e-108  1.3e-105  352.3   0.8   944  1132  1120  1312  1109  1313 0.94 ACNH67_001313
ACNH67_005131-T1     -           1255 31339                -           1133  1.7e-179  596.9   0.4   1   2   6.5e-27   7.4e-24   81.6   0.0    10   368   108   484   102   533 0.70 ACNH67_005131
ACNH67_005131-T1     -           1255 31339                -           1133  1.7e-179  596.9   0.4   2   2  5.1e-156  5.8e-153  509.1   2.4   430  1126   570  1253   546  1255 0.79 ACNH67_005131
ACNH67_002508-T1     -           1101 31339                -           1133  3.9e-167  556.1   2.7   1   2   6.3e-32   7.2e-29   98.2   0.0    61   430    26   397    17   402 0.81 ACNH67_002508
ACNH67_002508-T1     -           1101 31339                -           1133  3.9e-167  556.1   2.7   2   2  6.8e-139  7.7e-136  452.4   1.5   407  1127   402  1099   391  1100 0.80 ACNH67_002508
ACNH67_002052-T1     -            387 31339                -           1133      0.03   10.0   0.2   1   1   3.5e-05      0.04    9.6   0.2   562   641   282   362   265   369 0.76 ACNH67_002052
ACNH67_001285-T1     -           1208 31339                -           1133       1.2    4.7   5.7   1   1    0.0015       1.7    4.2   5.7  1064  1095   129   160   127   164 0.94 ACNH67_001285
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/edouard/GregarineStuff/Lgryllorum_Genome_analysis/Funannotate/Run_v3/species_train/annotate_results/busco_downloads/lineages/apicomplexa_odb12/hmms/31339at5794.hmm
# Target file:     /home/edouard/GregarineStuff/Lgryllorum_Genome_analysis/Funannotate/Run_v3/species_train/annotate_results/Leidyana_gryllorum.proteins.fa
# Option settings: hmmsearch --domtblout /home/edouard/GregarineStuff/Lgryllorum_Genome_analysis/Funannotate/Run_v3/species_train/annotate_results/busco/run_apicomplexa_odb12/hmmer_output/initial_run_results/31339at5794.out --cpu 1 /home/edouard/GregarineStuff/Lgryllorum_Genome_analysis/Funannotate/Run_v3/species_train/annotate_results/busco_downloads/lineages/apicomplexa_odb12/hmms/31339at5794.hmm /home/edouard/GregarineStuff/Lgryllorum_Genome_analysis/Funannotate/Run_v3/species_train/annotate_results/Leidyana_gryllorum.proteins.fa 
# Current dir:     /home/edouard/GregarineStuff/Lgryllorum_Genome_analysis/Funannotate/Run_v3/species_train/annotate_results
# Date:            Tue Apr  1 17:36:53 2025
# [ok]
