#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
ACNH67_002542-T1     -           2517 32660                -           1330         0 1468.1  69.1   1   7   1.8e-11   5.8e-09   32.4   7.8     2    57     3    71     2    75 0.81 ACNH67_002542
ACNH67_002542-T1     -           2517 32660                -           1330         0 1468.1  69.1   2   7   1.6e-54   4.9e-52  175.1  17.2    58   258   180   420   168   428 0.74 ACNH67_002542
ACNH67_002542-T1     -           2517 32660                -           1330         0 1468.1  69.1   3   7  3.7e-188  1.2e-185  617.8   0.0   233   645   428   849   418   887 0.90 ACNH67_002542
ACNH67_002542-T1     -           2517 32660                -           1330         0 1468.1  69.1   4   7  1.3e-106  4.1e-104  347.6   1.9   662   879  1181  1425  1157  1453 0.80 ACNH67_002542
ACNH67_002542-T1     -           2517 32660                -           1330         0 1468.1  69.1   5   7   2.5e-64   7.9e-62  207.6   9.4   909  1115  1609  1810  1571  1820 0.81 ACNH67_002542
ACNH67_002542-T1     -           2517 32660                -           1330         0 1468.1  69.1   6   7   2.7e-05    0.0083   12.0   0.1  1111  1159  1836  1884  1832  1905 0.76 ACNH67_002542
ACNH67_002542-T1     -           2517 32660                -           1330         0 1468.1  69.1   7   7   6.5e-29     2e-26   90.2   0.0  1170  1320  1996  2166  1989  2174 0.76 ACNH67_002542
ACNH67_000124-T1     -           1224 32660                -           1330   1.3e-97  326.1   2.0   1   2   6.6e-61   2.1e-58  196.2   0.1   247   551   492   809   466   820 0.81 ACNH67_000124
ACNH67_000124-T1     -           1224 32660                -           1330   1.3e-97  326.1   2.0   2   2   1.4e-43   4.5e-41  138.8   0.4   681   825   843   987   833  1064 0.91 ACNH67_000124
ACNH67_000695-T1     -           1616 32660                -           1330   2.2e-88  295.5   5.2   1   3       2.9     9e+02   -4.7   9.1   579   677   345   440   333   455 0.49 ACNH67_000695
ACNH67_000695-T1     -           1616 32660                -           1330   2.2e-88  295.5   5.2   2   3   4.2e-53   1.3e-50  170.4   0.1   257   527   627   901   598   910 0.84 ACNH67_000695
ACNH67_000695-T1     -           1616 32660                -           1330   2.2e-88  295.5   5.2   3   3   5.8e-43   1.8e-40  136.8   1.3   678   822  1306  1449  1300  1486 0.92 ACNH67_000695
ACNH67_003550-T1     -           1888 32660                -           1330     4e-85  284.7   5.9   1   3   4.2e-23   1.3e-20   71.0   0.0   267   364   698   797   695   815 0.84 ACNH67_003550
ACNH67_003550-T1     -           1888 32660                -           1330     4e-85  284.7   5.9   2   3   1.1e-22   3.6e-20   69.5   0.7   370   551   840  1026   824  1043 0.82 ACNH67_003550
ACNH67_003550-T1     -           1888 32660                -           1330     4e-85  284.7   5.9   3   3   1.5e-45   4.8e-43  145.3   0.2   677   849  1059  1243  1033  1328 0.80 ACNH67_003550
ACNH67_004776-T1     -           1470 32660                -           1330   1.4e-72  243.2   0.5   1   2   1.9e-39   5.8e-37  125.2   0.3   265   553    42   352    23   400 0.81 ACNH67_004776
ACNH67_004776-T1     -           1470 32660                -           1330   1.4e-72  243.2   0.5   2   2   9.1e-37   2.9e-34  116.2   0.0   680   874   400   600   390   634 0.85 ACNH67_004776
ACNH67_004541-T1     -            807 32660                -           1330   8.9e-66  220.6   0.1   1   2   7.5e-43   2.4e-40  136.4   0.1   288   552   143   416   135   436 0.81 ACNH67_004541
ACNH67_004541-T1     -            807 32660                -           1330   8.9e-66  220.6   0.1   2   2   1.9e-26   6.1e-24   82.0   0.0   678   823   515   660   493   689 0.91 ACNH67_004541
ACNH67_005157-T1     -            978 32660                -           1330   1.5e-65  219.9   9.3   1   5   2.6e-20   8.3e-18   61.7   0.0   240   356   126   242    98   249 0.79 ACNH67_005157
ACNH67_005157-T1     -            978 32660                -           1330   1.5e-65  219.9   9.3   2   5     4e-15   1.3e-12   44.5   0.0   368   446   337   418   330   447 0.90 ACNH67_005157
ACNH67_005157-T1     -            978 32660                -           1330   1.5e-65  219.9   9.3   3   5       0.1        31    0.1   0.0   474   508   485   519   473   544 0.69 ACNH67_005157
ACNH67_005157-T1     -            978 32660                -           1330   1.5e-65  219.9   9.3   4   5   1.3e-36   4.1e-34  115.7   0.1   680   811   678   811   655   819 0.93 ACNH67_005157
ACNH67_005157-T1     -            978 32660                -           1330   1.5e-65  219.9   9.3   5   5       9.7   3.1e+03   -6.4   4.2   633   649   897   913   839   952 0.51 ACNH67_005157
ACNH67_001516-T1     -           1203 32660                -           1330   1.3e-60  203.5   0.2   1   3     2e-10   6.1e-08   29.0   0.0   270   313   202   246   177   253 0.88 ACNH67_001516
ACNH67_001516-T1     -           1203 32660                -           1330   1.3e-60  203.5   0.2   2   3   4.2e-22   1.3e-19   67.6   0.0   321   530   306   539   299   548 0.76 ACNH67_001516
ACNH67_001516-T1     -           1203 32660                -           1330   1.3e-60  203.5   0.2   3   3   9.3e-33   2.9e-30  103.0   0.1   680   802   626   747   616   769 0.90 ACNH67_001516
ACNH67_000734-T1     -           1033 32660                -           1330   9.4e-55  184.1   0.0   1   2   7.2e-32   2.3e-29  100.0   0.0   263   497   382   620   366   625 0.87 ACNH67_000734
ACNH67_000734-T1     -           1033 32660                -           1330   9.4e-55  184.1   0.0   2   2   2.2e-26   6.8e-24   81.9   0.0   682   809   814   941   783   968 0.90 ACNH67_000734
ACNH67_004064-T1     -           1659 32660                -           1330   2.7e-50  169.3   2.9   1   5   9.3e-11   2.9e-08   30.1   0.0   234   321   372   461   305   462 0.73 ACNH67_004064
ACNH67_004064-T1     -           1659 32660                -           1330   2.7e-50  169.3   2.9   2   5   1.5e-05    0.0046   12.8   0.0   315   388   492   561   487   568 0.77 ACNH67_004064
ACNH67_004064-T1     -           1659 32660                -           1330   2.7e-50  169.3   2.9   3   5   4.6e-14   1.5e-11   41.0   0.0   388   445  1085  1143  1080  1150 0.89 ACNH67_004064
ACNH67_004064-T1     -           1659 32660                -           1330   2.7e-50  169.3   2.9   4   5     0.053        17    1.1   0.5    14    45  1338  1369  1316  1394 0.65 ACNH67_004064
ACNH67_004064-T1     -           1659 32660                -           1330   2.7e-50  169.3   2.9   5   5   2.3e-25   7.3e-23   78.4   0.0   677   806  1503  1631  1457  1653 0.84 ACNH67_004064
ACNH67_004655-T1     -           2298 32660                -           1330   3.5e-43  145.8   1.4   1   4   1.5e-28   4.7e-26   89.0   0.1   289   594   398   729   394   736 0.76 ACNH67_004655
ACNH67_004655-T1     -           2298 32660                -           1330   3.5e-43  145.8   1.4   2   4    0.0061       1.9    4.2   0.0   682   716   881   915   867   932 0.87 ACNH67_004655
ACNH67_004655-T1     -           2298 32660                -           1330   3.5e-43  145.8   1.4   3   4   1.4e-16   4.3e-14   49.4   0.0   736   805   985  1054   980  1081 0.91 ACNH67_004655
ACNH67_004655-T1     -           2298 32660                -           1330   3.5e-43  145.8   1.4   4   4       1.9     6e+02   -4.1   0.0   981  1054  1780  1854  1774  1855 0.82 ACNH67_004655
ACNH67_000948-T1     -           1402 32660                -           1330   2.3e-38  129.8  16.6   1   5   5.8e-05     0.018   10.9   0.0   289   306   694   711   687   723 0.90 ACNH67_000948
ACNH67_000948-T1     -           1402 32660                -           1330   2.3e-38  129.8  16.6   2   5     1e-16   3.1e-14   49.8   0.2   320   494   770   945   764   952 0.83 ACNH67_000948
ACNH67_000948-T1     -           1402 32660                -           1330   2.3e-38  129.8  16.6   3   5     0.056        18    1.0   0.0   499   530  1018  1049  1013  1097 0.82 ACNH67_000948
ACNH67_000948-T1     -           1402 32660                -           1330   2.3e-38  129.8  16.6   4   5     0.018       5.8    2.6   2.0   134   185  1137  1189  1121  1202 0.70 ACNH67_000948
