#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
ACNH67_004422-T1     -           1449 68953                -           1136         0 1654.5   0.0   1   3  8.2e-237  1.2e-233  776.7   0.0     2   519    97   636    96   650 0.92 ACNH67_004422
ACNH67_004422-T1     -           1449 68953                -           1136         0 1654.5   0.0   2   3  3.8e-156  5.3e-153  509.5   0.0   518   871   660  1029   653  1038 0.94 ACNH67_004422
ACNH67_004422-T1     -           1449 68953                -           1136         0 1654.5   0.0   3   3  2.2e-112    3e-109  364.6   0.0   868  1131  1056  1332  1044  1336 0.91 ACNH67_004422
ACNH67_001297-T1     -           1190 68953                -           1136         0 1420.8   0.0   1   1         0         0 1419.0   0.0     5  1121    26  1176    22  1185 0.94 ACNH67_001297
ACNH67_003453-T1     -           1195 68953                -           1136         0 1400.3   0.0   1   1         0         0 1397.5   0.0     4  1122    26  1186    23  1194 0.94 ACNH67_003453
ACNH67_000080-T1     -           1036 68953                -           1136   2.2e-69  232.6   0.0   1   3       0.1   1.4e+02   -1.9   0.0   411   453   336   383   332   388 0.47 ACNH67_000080
ACNH67_000080-T1     -           1036 68953                -           1136   2.2e-69  232.6   0.0   2   3     1e-50   1.4e-47  160.4   0.0   529   843   468   787   448   793 0.90 ACNH67_000080
ACNH67_000080-T1     -           1036 68953                -           1136   2.2e-69  232.6   0.0   3   3   3.8e-23   5.3e-20   69.1   0.0   950  1120   854  1029   832  1033 0.91 ACNH67_000080
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/edouard/GregarineStuff/Lgryllorum_Genome_analysis/Funannotate/Run_v3/species_train/annotate_results/busco_downloads/lineages/apicomplexa_odb12/hmms/68953at5794.hmm
# Target file:     /home/edouard/GregarineStuff/Lgryllorum_Genome_analysis/Funannotate/Run_v3/species_train/annotate_results/Leidyana_gryllorum.proteins.fa
# Option settings: hmmsearch --domtblout /home/edouard/GregarineStuff/Lgryllorum_Genome_analysis/Funannotate/Run_v3/species_train/annotate_results/busco/run_apicomplexa_odb12/hmmer_output/initial_run_results/68953at5794.out --cpu 1 /home/edouard/GregarineStuff/Lgryllorum_Genome_analysis/Funannotate/Run_v3/species_train/annotate_results/busco_downloads/lineages/apicomplexa_odb12/hmms/68953at5794.hmm /home/edouard/GregarineStuff/Lgryllorum_Genome_analysis/Funannotate/Run_v3/species_train/annotate_results/Leidyana_gryllorum.proteins.fa 
# Current dir:     /home/edouard/GregarineStuff/Lgryllorum_Genome_analysis/Funannotate/Run_v3/species_train/annotate_results
# Date:            Tue Apr  1 17:39:16 2025
# [ok]
