ACNH67_000016-T1	XP_011130262.1	33.3	51	33	1	92	142	4	53	5.01e-04	37.7	XP_011130262.1 chromo domain protein [Gregarina niphandrodes]
ACNH67_000028-T1	XP_011132575.1	29.7	794	387	23	319	986	31	779	3.11e-92	317	XP_011132575.1 X-pro dipeptidyl-peptidase, S15 family protein [Gregarina niphandrodes]
ACNH67_000031-T1	XP_011131186.1	44.6	312	147	8	1	306	102	393	7.25e-63	228	XP_011131186.1 putative gamma-adaptin [Gregarina niphandrodes]
ACNH67_000032-T1	XP_011129901.1	78.9	19	4	0	318	336	398	416	9.23e-04	39.3	XP_011129901.1 hypothetical protein GNI_054800 [Gregarina niphandrodes]
ACNH67_000034-T1	XP_011133279.1	40.8	1926	882	33	148	1880	2	1861	0.0	1173	XP_011133279.1 E1-E2 ATPase [Gregarina niphandrodes]
ACNH67_000034-T1	XP_011133280.1	59.3	140	37	2	20	139	27	166	9.02e-46	160	XP_011133280.1 putative ATPase, partial [Gregarina niphandrodes]
ACNH67_000034-T1	XP_011132102.1	25.7	677	390	16	1099	1694	1180	1824	5.95e-40	161	XP_011132102.1 putative ATPase [Gregarina niphandrodes]
ACNH67_000034-T1	XP_011131681.1	35.3	255	132	6	991	1229	611	848	1.48e-25	113	XP_011131681.1 putative phospholipid-transporting ATPase, partial [Gregarina niphandrodes]
ACNH67_000038-T1	XP_011134414.1	44.7	387	203	6	169	546	196	580	1.20e-90	313	XP_011134414.1 peptidase S8 family domain protein [Gregarina niphandrodes]
ACNH67_000038-T1	XP_011128457.1	40.6	335	185	7	170	495	293	622	2.00e-59	216	XP_011128457.1 peptidase S8 family domain protein [Gregarina niphandrodes]
ACNH67_000038-T1	XP_011132889.1	34.4	314	190	3	188	497	716	1017	2.79e-50	190	XP_011132889.1 peptidase S8 family domain protein [Gregarina niphandrodes]
ACNH67_000038-T1	XP_011128512.1	35.9	323	188	7	188	495	178	496	1.13e-46	175	XP_011128512.1 peptidase S8 family domain protein [Gregarina niphandrodes]
ACNH67_000038-T1	XP_011132144.1	29.9	318	192	8	216	505	490	804	2.97e-22	100	XP_011132144.1 peptidase S8 family domain protein [Gregarina niphandrodes]
ACNH67_000039-T1	XP_011128581.1	47.6	340	169	3	48	385	65	397	7.56e-113	335	XP_011128581.1 putative alpha/beta hydrolase [Gregarina niphandrodes]
ACNH67_000045-T1	XP_011131023.1	61.7	128	39	2	68	195	28	145	1.13e-43	144	XP_011131023.1 RNA recognition motif protein [Gregarina niphandrodes]
ACNH67_000045-T1	XP_011130493.1	33.3	72	48	0	114	185	45	116	3.54e-07	46.6	XP_011130493.1 putative nuclear cap-binding protein [Gregarina niphandrodes]
ACNH67_000046-T1	XP_011128578.1	36.9	157	91	3	19	175	26	174	6.55e-22	88.6	XP_011128578.1 telomere stability/silencing protein [Gregarina niphandrodes]
ACNH67_000048-T1	XP_011128579.1	80.6	175	34	0	1	175	1	175	1.77e-94	271	XP_011128579.1 40S ribosomal protein S9 [Gregarina niphandrodes]
ACNH67_000051-T1	XP_011132725.1	61.7	188	72	0	14	201	18	205	2.23e-85	249	XP_011132725.1 UMP-CMP kinase [Gregarina niphandrodes]
ACNH67_000055-T1	XP_011133204.1	34.4	2387	1078	55	758	2982	429	2489	0.0	1101	XP_011133204.1 putative guanylyl cyclase [Gregarina niphandrodes]
ACNH67_000055-T1	XP_011130546.1	29.9	1307	580	32	1981	2976	2140	3422	3.47e-119	423	XP_011130546.1 putative guanylyl cyclase [Gregarina niphandrodes]
ACNH67_000055-T1	XP_011133203.1	33.1	299	189	4	44	338	14	305	8.94e-42	163	XP_011133203.1 putative transmembrane protein [Gregarina niphandrodes]
ACNH67_000055-T1	XP_011132102.1	26.4	163	91	3	944	1106	1177	1310	3.90e-08	57.4	XP_011132102.1 putative ATPase [Gregarina niphandrodes]
ACNH67_000055-T1	XP_011133279.1	31.4	105	71	1	997	1101	1137	1240	8.58e-08	56.2	XP_011133279.1 E1-E2 ATPase [Gregarina niphandrodes]
ACNH67_000055-T1	XP_011131681.1	19.8	398	225	12	142	505	180	517	1.50e-04	45.4	XP_011131681.1 putative phospholipid-transporting ATPase, partial [Gregarina niphandrodes]
ACNH67_000056-T1	XP_011131789.1	59.9	726	250	6	1	694	83	799	3.43e-314	874	XP_011131789.1 threonyl-tRNA synthetase [Gregarina niphandrodes]
ACNH67_000057-T1	XP_011130064.1	38.1	627	268	14	5	519	11	629	4.14e-118	368	XP_011130064.1 NOL1/NOP2/SUN family protein [Gregarina niphandrodes]
ACNH67_000057-T1	XP_011133519.1	29.3	492	227	13	3	386	44	522	3.60e-45	169	XP_011133519.1 NOL1/NOP2/Sun family protein [Gregarina niphandrodes]
ACNH67_000058-T1	XP_011130216.1	37.4	321	179	7	80	392	16	322	1.00e-63	211	XP_011130216.1 putative transmembrane protein [Gregarina niphandrodes]
ACNH67_000059-T1	XP_011128873.1	91.2	294	26	0	1	294	1	294	8.31e-199	550	XP_011128873.1 elongation factor 1-alpha, partial [Gregarina niphandrodes]
ACNH67_000059-T1	XP_011128819.1	91.0	288	26	0	1	288	1	288	3.47e-194	538	XP_011128819.1 elongation factor 1-alpha, partial [Gregarina niphandrodes]
ACNH67_000059-T1	XP_011134698.1	85.5	193	28	0	221	413	1	193	4.59e-120	346	XP_011134698.1 putative translation elongation factor 1-alpha [Gregarina niphandrodes]
ACNH67_000059-T1	XP_011131144.1	33.9	443	271	9	5	429	24	462	9.61e-80	252	XP_011131144.1 translation elongation factor-1-alpha [Gregarina niphandrodes]
ACNH67_000059-T1	XP_011128818.1	77.6	107	24	0	333	439	1	107	6.36e-55	176	XP_011128818.1 putative elongation factor 1-alpha [Gregarina niphandrodes]
ACNH67_000059-T1	XP_011128872.1	77.6	107	24	0	333	439	1	107	6.36e-55	176	XP_011128872.1 putative elongation factor 1-alpha [Gregarina niphandrodes]
ACNH67_000062-T1	XP_011130402.1	65.7	303	101	1	17	316	12	314	2.14e-146	412	XP_011130402.1 histidine phosphatase domain protein [Gregarina niphandrodes]
ACNH67_000065-T1	XP_011131290.1	51.4	537	175	4	1	451	1	537	2.56e-193	546	XP_011131290.1 Rab-GDP dissociation inhibitor [Gregarina niphandrodes]
ACNH67_000066-T1	XP_011131291.1	71.2	271	70	1	24	286	4	274	1.31e-138	393	XP_011131291.1 cell differentiation protein rcd1 [Gregarina niphandrodes]
ACNH67_000073-T1	XP_011132144.1	41.2	786	329	15	247	979	117	822	2.55e-169	514	XP_011132144.1 peptidase S8 family domain protein [Gregarina niphandrodes]
ACNH67_000073-T1	XP_011133355.1	35.5	392	200	9	587	942	90	464	6.94e-67	230	XP_011133355.1 peptidase S8 family domain protein [Gregarina niphandrodes]
ACNH67_000073-T1	XP_011128512.1	34.7	346	173	11	588	930	178	473	5.98e-49	182	XP_011128512.1 peptidase S8 family domain protein [Gregarina niphandrodes]
ACNH67_000073-T1	XP_011128457.1	31.0	371	201	10	589	957	309	626	1.21e-39	156	XP_011128457.1 peptidase S8 family domain protein [Gregarina niphandrodes]
ACNH67_000077-T1	XP_011132889.1	34.7	461	251	8	95	516	570	1019	1.16e-74	253	XP_011132889.1 peptidase S8 family domain protein [Gregarina niphandrodes]
ACNH67_000077-T1	XP_011134414.1	41.2	323	175	7	205	515	214	533	2.49e-63	222	XP_011134414.1 peptidase S8 family domain protein [Gregarina niphandrodes]
ACNH67_000077-T1	XP_011128512.1	29.7	431	266	12	103	517	92	501	3.55e-42	157	XP_011128512.1 peptidase S8 family domain protein [Gregarina niphandrodes]
ACNH67_000078-T1	XP_011128564.1	32.2	453	282	11	162	606	183	618	2.79e-52	188	XP_011128564.1 putative peptidase [Gregarina niphandrodes]
ACNH67_000078-T1	XP_011134414.1	40.6	293	162	7	245	528	215	504	1.13e-48	181	XP_011134414.1 peptidase S8 family domain protein [Gregarina niphandrodes]
ACNH67_000078-T1	XP_011132889.1	34.9	315	187	6	245	555	716	1016	7.76e-45	169	XP_011132889.1 peptidase S8 family domain protein [Gregarina niphandrodes]
ACNH67_000081-T1	XP_011131524.1	35.5	366	204	5	713	1078	77	410	3.86e-70	244	XP_011131524.1 phosphdiesterase [Gregarina niphandrodes]
ACNH67_000084-T1	XP_011130166.1	69.4	859	218	7	9	865	5	820	0.0	1196	XP_011130166.1 ribonucleoside-diphosphate reductase alpha subunit [Gregarina niphandrodes]
ACNH67_000086-T1	XP_011134197.1	57.8	270	110	1	77	346	67	332	4.50e-111	325	XP_011134197.1 alternative oxidase [Gregarina niphandrodes]
ACNH67_000086-T1	XP_011134194.1	58.1	272	109	2	76	346	189	456	3.74e-108	322	XP_011134194.1 alternative oxidase [Gregarina niphandrodes]
ACNH67_000086-T1	XP_011130587.1	52.8	250	108	3	106	346	52	300	4.54e-82	249	XP_011130587.1 alternative oxidase [Gregarina niphandrodes]
ACNH67_000088-T1	XP_011129036.1	85.3	400	59	0	67	466	35	434	1.53e-255	700	XP_011129036.1 putative DEAD box ATP-dependent RNA helicase [Gregarina niphandrodes]
